Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers (U.K.) Limited
Statement,Data,BrokerAddress,"20 Fenchurch Street, Floor 12, London EC3M 3BY, UK. Authorised and regulated by the Financial Conduct Authority"
Statement,Data,Title,Realized Summary
Statement,Data,Period,"February 21, 2025 - January 28, 2026"
Statement,Data,WhenGenerated,"2026-01-29, 13:15:16 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,CAESARIS DENARII LIMITED
Account Information,Data,Account Alias,Master
Account Information,Data,Account,U17419949
Account Information,Data,Accounts Included,"U17419949, U17419949F"
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,GBP
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,0,0.000043899,-0.004876883,-0.004832984,-0.004832984
Net Asset Value,Data,Interest Accruals,0,19.83,0,19.83,19.83
Net Asset Value,Data,Total,0,19.830043899,-0.004876883,19.825167016,19.825167016
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,28.528015695%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,0
Change in NAV,Data,Details not available,
Change in NAV,Data,Ending Value,19.825167016
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,NU,0,2727.587732258,0,0,0,2727.587732258,0,0,0,0,0,2727.587732258,
Realized & Unrealized Performance Summary,Data,Stocks,NUE,0,0,-170.753761008,0,0,-170.753761008,0,0,0,0,0,-170.753761008,
Realized & Unrealized Performance Summary,Data,Stocks,NVAX,0,5680.743634422,0,0,0,5680.743634422,0,0,0,0,0,5680.743634422,
Realized & Unrealized Performance Summary,Data,Stocks,NVDA,0,32589.908737386,-4098.479746623,0,0,28491.428990764,0,0,0,0,0,28491.428990764,
Realized & Unrealized Performance Summary,Data,Stocks,OKLO,0,171536.903803844,-60989.513640217,0,0,110547.390163627,0,0,0,0,0,110547.390163627,
Realized & Unrealized Performance Summary,Data,Stocks,OPEN,0,3928.405573036,-8998.242581157,0,0,-5069.837008121,0,0,0,0,0,-5069.837008121,
Realized & Unrealized Performance Summary,Data,Stocks,OXY,0,0,-362.097953899,0,0,-362.097953899,0,0,0,0,0,-362.097953899,
Realized & Unrealized Performance Summary,Data,Stocks,PACS,0,3435.257861194,0,0,0,3435.257861194,0,0,0,0,0,3435.257861194,
Realized & Unrealized Performance Summary,Data,Stocks,PARA,0,0,-201.215140828,0,0,-201.215140828,0,0,0,0,0,-201.215140828,
Realized & Unrealized Performance Summary,Data,Stocks,PFE,0,0.095012341,-2.33388545,0,0,-2.238873109,0,0,0,0,0,-2.238873109,
Realized & Unrealized Performance Summary,Data,Stocks,PHR,0,0,-0.113488775,0,0,-0.113488775,0,0,0,0,0,-0.113488775,
Realized & Unrealized Performance Summary,Data,Stocks,PLTR,0,30600.527204084,-3735.382127914,0,0,26865.14507617,0,0,0,0,0,26865.14507617,
Realized & Unrealized Performance Summary,Data,Stocks,PYPL,0,0,-122.436961161,0,0,-122.436961161,0,0,0,0,0,-122.436961161,
Realized & Unrealized Performance Summary,Data,Stocks,QBTS,0,0.035931816,0,0,0,0.035931816,0,0,0,0,0,0.035931816,
Realized & Unrealized Performance Summary,Data,Stocks,QUBT,0,0,-0.398010713,0,0,-0.398010713,0,0,0,0,0,-0.398010713,
Realized & Unrealized Performance Summary,Data,Stocks,RBLX,0,0,-0.974310137,0,0,-0.974310137,0,0,0,0,0,-0.974310137,
Realized & Unrealized Performance Summary,Data,Stocks,RGTI,0,4022.639504783,-4312.743412179,0,0,-290.103907396,0,0,0,0,0,-290.103907396,
Realized & Unrealized Performance Summary,Data,Stocks,RKLB,0,163.136302609,0,0,0,163.136302609,0,0,0,0,0,163.136302609,
Realized & Unrealized Performance Summary,Data,Stocks,RMD,0,0,-161.972640222,0,0,-161.972640222,0,0,0,0,0,-161.972640222,
Realized & Unrealized Performance Summary,Data,Stocks,RTX,0,0,-21.006416513,0,0,-21.006416513,0,0,0,0,0,-21.006416513,
Realized & Unrealized Performance Summary,Data,Stocks,RXRX,0,0,-2157.256484267,0,0,-2157.256484267,0,0,0,0,0,-2157.256484267,
Realized & Unrealized Performance Summary,Data,Stocks,SATS,0,0.906344914,0,0,0,0.906344914,0,0,0,0,0,0.906344914,
Realized & Unrealized Performance Summary,Data,Stocks,SERV,0,39444.220065457,-438.631858146,0,0,39005.588207311,0,0,0,0,0,39005.588207311,
Realized & Unrealized Performance Summary,Data,Stocks,SGML,0,0,-629.322229191,0,0,-629.322229191,0,0,0,0,0,-629.322229191,
Realized & Unrealized Performance Summary,Data,Stocks,SHOO,0,8778.109057224,0,0,0,8778.109057224,0,0,0,0,0,8778.109057224,
Realized & Unrealized Performance Summary,Data,Stocks,SHOP,0,3237.304882118,-1.400161563,0,0,3235.904720556,0,0,0,0,0,3235.904720556,
Realized & Unrealized Performance Summary,Data,Stocks,SLDP,0,0.022207385,-2993.762056865,0,0,-2993.73984948,0,0,0,0,0,-2993.73984948,
Realized & Unrealized Performance Summary,Data,Stocks,SMR,0,0,-1348.351260126,0,0,-1348.351260126,0,0,0,0,0,-1348.351260126,
Realized & Unrealized Performance Summary,Data,Stocks,SOFI,0,32.804088907,-0.083926667,0,0,32.72016224,0,0,0,0,0,32.72016224,
Realized & Unrealized Performance Summary,Data,Stocks,SOUN,0,16142.672217717,0,0,0,16142.672217717,0,0,0,0,0,16142.672217717,
Realized & Unrealized Performance Summary,Data,Stocks,STRL,0,2.373912441,0,0,0,2.373912441,0,0,0,0,0,2.373912441,
Realized & Unrealized Performance Summary,Data,Stocks,SYM,0,1514.424170251,-4.192966177,0,0,1510.231204074,0,0,0,0,0,1510.231204074,
Realized & Unrealized Performance Summary,Data,Stocks,TASE,0,648.20443137,0,0,0,648.20443137,0,0,0,0,0,648.20443137,
Realized & Unrealized Performance Summary,Data,Stocks,TMO,0,0,-85.420864649,0,0,-85.420864649,0,0,0,0,0,-85.420864649,
Realized & Unrealized Performance Summary,Data,Stocks,TNFA,0,0,-1319.697620012,0,0,-1319.697620012,0,0,0,0,0,-1319.697620012,
Realized & Unrealized Performance Summary,Data,Stocks,TRVI,0,231.074742828,0,0,0,231.074742828,0,0,0,0,0,231.074742828,
